batch_id,process_step,machine_id,start_time,end_time,duration,operator,quality_flag,defect_type,remarks,material_moved
BATCH_2174,Material Application,MACHINE_01,2025-09-08 14:21:15.732924,2025-09-08 14:54:00.461755,32.74548051317153,Operator_3,Pass,None,,False
BATCH_2174,Blanking,MACHINE_02,2025-09-08 14:51:15.732924,2025-09-08 15:26:38.355981,35.37705094369615,Operator_11,Pass,None,,True
BATCH_2174,Laser Cutting,MACHINE_03,2025-09-08 15:21:15.732924,2025-09-08 16:12:03.815265,50.801372353643465,Operator_9,Pass,None,,True
BATCH_2174,CNC Punching,MACHINE_04,2025-09-08 15:51:15.732924,2025-09-08 16:20:22.225475,29.108209187278828,Operator_3,Scrap,None,,False
BATCH_2174,Press Brake Bending,MACHINE_05,2025-09-08 16:21:15.732924,2025-09-08 17:01:48.704656,40.54952887371783,Operator_19,Fail,None,,True
BATCH_2174,Fitter Riveting,MACHINE_06,2025-09-08 16:51:15.732924,2025-09-08 17:13:08.470625,21.87896168528627,Operator_17,Pass,None,,False
BATCH_2174,Welding,MACHINE_07,2025-09-08 17:21:15.732924,2025-09-08 17:56:45.259117,35.492103220426344,Operator_11,Fail,None,,False
BATCH_2174,Polishing,MACHINE_08,2025-09-08 17:51:15.732924,2025-09-08 18:11:28.211258,20.207972236746645,Operator_1,Fail,None,,True
BATCH_2174,Surface Treatment,MACHINE_09,2025-09-08 18:21:15.732924,2025-09-08 18:27:57.615289,6.698039420482759,Operator_12,Fail,None,,False
BATCH_2174,Semi-finished Inspection,MACHINE_10,2025-09-08 18:51:15.732924,2025-09-08 19:19:21.105398,28.08954122921325,Operator_2,Pass,None,,False
BATCH_2174,Silk Printing,MACHINE_11,2025-09-08 19:21:15.732924,2025-09-08 19:29:36.558390,8.347091098637355,Operator_20,Fail,None,,False
BATCH_2174,Final Assembly,MACHINE_12,2025-09-08 19:51:15.732924,2025-09-08 20:50:00.081275,58.739139188334896,Operator_7,Fail,None,,False
BATCH_2174,Quality Inspection,MACHINE_13,2025-09-08 20:21:15.732924,2025-09-08 20:59:38.098543,38.372760320397155,Operator_16,Pass,None,,True
BATCH_2174,Warehousing,MACHINE_14,2025-09-08 20:51:15.732924,2025-09-08 20:59:05.740134,7.833453503023147,Operator_20,Fail,None,,False
BATCH_2174,Shipment,MACHINE_15,2025-09-08 21:21:15.732924,2025-09-08 21:34:34.540440,13.31345859424317,Operator_9,Pass,None,,False
BATCH_6269,Material Application,MACHINE_01,2025-09-08 14:21:15.732924,2025-09-08 14:56:16.229284,35.008272666156785,Operator_20,Pass,None,,True
BATCH_6269,Blanking,MACHINE_02,2025-09-08 14:51:15.732924,2025-09-08 15:34:02.239994,42.77511782791623,Operator_19,Scrap,None,,False
BATCH_6269,Laser Cutting,MACHINE_03,2025-09-08 15:21:15.732924,2025-09-08 15:58:26.042105,37.171819680002855,Operator_10,Scrap,None,,False
BATCH_6269,CNC Punching,MACHINE_04,2025-09-08 15:51:15.732924,2025-09-08 16:09:28.978299,18.220756245173668,Operator_1,Scrap,None,,True
BATCH_6269,Press Brake Bending,MACHINE_05,2025-09-08 16:21:15.732924,2025-09-08 16:59:33.689225,38.299271680464905,Operator_10,Scrap,None,,True
BATCH_6269,Fitter Riveting,MACHINE_06,2025-09-08 16:51:15.732924,2025-09-08 17:40:27.672759,49.19899724276329,Operator_19,Fail,None,,True
BATCH_6269,Welding,MACHINE_07,2025-09-08 17:21:15.732924,2025-09-08 18:17:09.101728,55.88948007414459,Operator_7,Pass,None,,False
BATCH_6269,Polishing,MACHINE_08,2025-09-08 17:51:15.732924,2025-09-08 18:16:29.988337,25.237590212105015,Operator_7,Fail,None,,False
BATCH_6269,Surface Treatment,MACHINE_09,2025-09-08 18:21:15.732924,2025-09-08 18:56:11.588017,34.930918212252124,Operator_10,Scrap,None,,False
BATCH_6269,Semi-finished Inspection,MACHINE_10,2025-09-08 18:51:15.732924,2025-09-08 19:15:26.300241,24.176121953452125,Operator_9,Scrap,None,,True
BATCH_6269,Silk Printing,MACHINE_11,2025-09-08 19:21:15.732924,2025-09-08 19:45:08.842782,23.885164298581735,Operator_19,Fail,None,,False
BATCH_6269,Final Assembly,MACHINE_12,2025-09-08 19:51:15.732924,2025-09-08 20:46:05.865052,54.835535467478955,Operator_19,Scrap,None,,False
BATCH_6269,Quality Inspection,MACHINE_13,2025-09-08 20:21:15.732924,2025-09-08 20:35:48.284927,14.542533382534302,Operator_11,Pass,None,,False
BATCH_6269,Warehousing,MACHINE_14,2025-09-08 20:51:15.732924,2025-09-08 21:48:56.964875,57.687199178132644,Operator_14,Pass,None,,True
BATCH_6269,Shipment,MACHINE_15,2025-09-08 21:21:15.732924,2025-09-08 22:05:55.122634,44.65649516734708,Operator_1,Fail,None,,True
BATCH_1937,Material Application,MACHINE_01,2025-09-08 14:21:15.732924,2025-09-08 15:12:49.215025,51.55803502267196,Operator_15,Fail,None,,False
BATCH_1937,Blanking,MACHINE_02,2025-09-08 14:51:15.732924,2025-09-08 15:20:27.208864,29.19126566576003,Operator_7,Fail,None,,True
BATCH_1937,Laser Cutting,MACHINE_03,2025-09-08 15:21:15.732924,2025-09-08 15:59:34.088832,38.30593179497591,Operator_9,Pass,None,,True
BATCH_1937,CNC Punching,MACHINE_04,2025-09-08 15:51:15.732924,2025-09-08 16:36:41.379709,45.427446416216235,Operator_16,Fail,None,,False
BATCH_1937,Press Brake Bending,MACHINE_05,2025-09-08 16:21:15.732924,2025-09-08 17:02:32.729182,41.28327096936963,Operator_1,Scrap,None,,False
BATCH_1937,Fitter Riveting,MACHINE_06,2025-09-08 16:51:15.732924,2025-09-08 17:34:27.015373,43.18804082148216,Operator_10,Scrap,None,,False
BATCH_1937,Welding,MACHINE_07,2025-09-08 17:21:15.732924,2025-09-08 18:01:07.485966,39.86255070525442,Operator_14,Pass,None,,True
BATCH_1937,Polishing,MACHINE_08,2025-09-08 17:51:15.732924,2025-09-08 18:18:24.288155,27.14258718365573,Operator_7,Pass,None,,True
